OBJECTID,Reported Date,Information Reliability,Region of Incident,Number Dead,Number Missing,Nationalities,Region of Origin,Migrant route,Location Description,Number of Female,Number of Male,Number of Children,Age Range,Information Source,URL,Comments,Has the record been reviewed for quality and ready for public view,Cause of death,Number of survivors,x,y,
193,"December 29, 2014",Verified,Mediterranean,,9,Syrian Arab Republic,MENA,Eastern Mediterranean,"Off town of Gümüşlük, near the city of Bodrum, Turkey",,,,,IOM Turkey via TCGC,http://bit.ly/1xAWSfK,,Yes,Drowning,,3046166.5813491,4439009.26551206,
194,"December 28, 2014",Partially Verified,Mediterranean,2,,Syrian Arab Republic,MENA,Apulia and Calabria,Unspecified location between Greece and Italy,,,,,Saudi Press Agency,,,Yes,Drowning,,2120669.6954591,4862615.07171782,
195,"December 24, 2014",Verified,Mediterranean,,30,Unknown,Unknown,,,,,,,IOM Rome,,Incident reported to IOM staff by survivors. ,Yes,Unknown,,1849161.45741431,4070112.9718473,
196,"December 23, 2014",Partially Verified,Mediterranean,5,,,,Central Mediterranean,Unspecified location between North Africa and Italy,,1,,,ANSA English,http://bit.ly/1xdZY9w,,Yes,Drowning,,1526290.4063175,4138606.00971123,
197,"December 19, 2014",Partially Verified,Mediterranean,9,,Unknown,Unknown,,"Unspecified location off the coast of Tangier, Strait of Gibraltar",,,3,3 infants,Reuters,http://yhoo.it/1AqncZM,,Yes,Drowning,,-646046.004403483,4279561.71250109,
198,"December 16, 2014",Partially Verified,Caribbean,1,,Cuba,Caribbean,,22 miles off the coast of Cuba,,1,,,Miami Herald,http://hrld.us/1CdEdJM,,Yes,Drowning,,-8937630.40875943,2710148.33424421,
199,"December 12, 2014",Verified,Europe,1,,Sudan,MENA,,"M25 highway, United Kingdom",,1,,,Calais Migrant Solidarity,http://bit.ly/1zTn3Of ,,Yes,Vehicle accident,,116184.152540946,6642689.72542992,
200,"December 7, 2014",Verified,Horn of Africa,21,3,Ethiopia,Horn of Africa,,"Off coast of Yemen, near al-Makha port",,,,,IOM Yemen,,"Although media has been reporting 70 deaths, reports from local authorities indicate the number is closer to 24. ",Yes,Drowning,,4804526.95873954,1475537.14149757,
201,"December 5, 2014",Partially Verified,Mediterranean,,23,Reported as unspecified nationals of Sub-Saharan Africa,Sub-Saharan Africa,Western Med,"32 kilometers off Cabo de Gata, Spain",,,,,Press TV,http://bit.ly/12VUMvt,,Yes,Presumed drowning,,-265389.005635881,4355690.62287904,
202,"December 5, 2014",Verified,Mediterranean,17,,Reported as unspecified nationals of Sub-Saharan Africa,Sub-Saharan Africa,Central Mediterranean,"40 miles north of Tripoli, Libya in the Channel of Sicily.",1,15,,,IOM Rome,,,Yes,Hypothermia,,1455357.62678402,4050548.55961466,
203,"December 1, 2014",Verified,Europe,1,,Unknown,Unknown,,On A16 highway between Calais and Boulogne,,1,,,Calais Migrant Solidarity,http://bit.ly/1vbpsyD,Likely struck by vehicle,Yes,Unknown (found on motorway),,195678.514111331,6594380.07275659,
204,"November 19, 2014",Verified,Europe,2,,Unknown,Unknown,,"Loon-Plague port, Dunkirk, France",,,,,Daily Mail,http://dailym.ai/1r4Egyr,,Yes,Burned to death hiding in truck,,251292.618516744,6620692.32414069,
205,"November 25, 2014",Verified,Mediterranean,,6,Reported as unspecified nationals of Sub-Saharan Africa,Sub-Saharan Africa,Central Mediterranean ,Unspeficied location in the Channel of Sicily,,,,,IOM Rome,,Deaths reported between 17 and 26 November 2014.,Yes,Drowning,,1465142.61002475,4290251.40197871,
206,"November 17, 2014",Verified,Mediterranean,,12,Reported as unspecified nationals of Sub-Saharan Africa,Sub-Saharan Africa,Central Mediterranean,Unspecified location in the Channel of Sicily,,,,,IOM Rome,,Deaths reported betweem 17 and 24 November 2014.,Yes,Drowning,,1438236.68910002,4344065.71731396,
207,"November 11, 2014",Verified,Horn of Africa,,30,Ethiopia,Horn of Africa,,"Unspecified location in the Gulf of Aden, off the coast of Djibouti",,,,,IOM Djibouti,http://bit.ly/11iUpJt,,Yes,Presumed drowning,,4901452.83937324,1356294.23768727,
208,"November 7, 2014",Verified,Mediterranean,4,,Afghanistan,South Asia,Eastern Mediterranean,"Unspecified location off the coast of Ayvalik, Turkey",,,,,Daily News,http://bit.ly/1wjEt2r,,Yes,Drowning,,2953528.72972714,4761715.08921439,
209,"November 5, 2014",Verified,Middle East ,27,11,Afghanistan,South Asia,,"Just north of Istanbul, Turkey",,,,,Daily Sabah,http://bit.ly/14gJbau,,Yes,Drowning,,3242614.31536819,5050501.02560818,
210,"October 30, 2014",Verified,U.S./Mexico Border,1,,Unknown,Central America,,Pima County,,1,,,PCOME,,,Yes,Unknown,,-12368708.6220406,3680138.32160545,
211,"October 29, 2014",Verified,Mediterranean,,20,Reported as unspecified nationals of Africa,Unknown,,Unspecified location off the coast of Libya,,,,,Mail Online,http://dailym.ai/1EczOFt,,Yes,Presumed drowning,,1577664.35131859,4078673.7704337,
214,"October 27, 2014",Verified,Caribbean,,2,Cuba,Caribbean,,24 miles south of Miami,,,,,New York Times,http://nyti.ms/1ztzz96,,Yes,Drowning,,-8941292.82000652,2822665.55816194,
215,"October 24, 2014",Partially Verified,Europe,1,,Syria,Middle East/ South Asia,Calais to UK,"Calais, France",,1,,30,Liberation.fr,http://bit.ly/1NtbdS6,,Yes,Hit by truck,2,206908.424342552,6612683.77341068,
218,"October 20, 2014",Verified,Europe,1,,Ethiopia,Horn of Africa,,France - Calais,1,,,,Kentonline,http://bit.ly/1tj1pkQ,,Yes,Hit by vehicle,,206908.424342552,6612686.30538854,
219,"October 17, 2014",Verified,Horn of Africa,1,,Unknown,Horn of Africa,,"Gulf of Aden, between Bosaso and Yemen (Bin Sinaa)",,,,,Society for Humanitarian Solidarity,http://shsyemen.org/en/,,Yes,Drowning,,5334697.16559158,1406439.56915095,
220,"October 17, 2014",Verified,Horn of Africa,1,,Unknown,Horn of Africa,,"Gulf of Aden, between Bosaso and Yemen (Bin Sinaa)",,,,,Society for Humanitarian Solidarity,,,Yes,Drowning,,5334697.16559158,1406439.56915095,
221,"October 17, 2014",Verified,Horn of Africa,1,,Unknown,Horn of Africa,,Unspecified location in the Gulf of Aden,,,,,Society for Humanitarian Solidarity,http://shsyemen.org/en/,,Yes,Drowning due to forced disembarcation,,5334697.16559158,1406439.56915095,
222,"October 17, 2014",Verified,Horn of Africa,1,,Unknown,Horn of Africa,,"Gulf of Aden, between Bosaso and Yemen (Bin Sinaa)",,,,,Society for Humanitarian Solidarity,http://shsyemen.org/en/,,Yes,Drowning,,5334697.16559158,1406439.56915095,
223,"October 17, 2014",Verified,Horn of Africa,1,,Unknown,Horn of Africa,,"Gulf of Aden, between Bosaso and Yemen (Hasihasah)",,,,,Society for Humanitarian Solidarity,http://shsyemen.org/en/,,Yes,Unknown,,5334697.16559158,1406439.56915095,
224,"October 17, 2014",Verified,Horn of Africa,1,,Unknown,Horn of Africa,,"Gulf of Aden, between Bosaso and Yemen (Harow)",,,,,Society for Humanitarian Solidarity,http://shsyemen.org/en/,,Yes,Drowning,,5334697.16559158,1406439.56915095,
225,"October 17, 2014",Verified,Horn of Africa,1,,Unknown,Horn of Africa,,"Gulf of Aden, between Bosaso and Yemen (Muwaisaâ€™a)",,,,,Society for Humanitarian Solidarity,http://shsyemen.org/en/,,Yes,Drowning,,5334697.16559158,1406439.56915095,
226,"October 16, 2014",Verified,Horn of Africa,1,,Unknown,Horn of Africa,,"Gulf of Aden, between Bosaso and Yemen (Jalooba)",,,,,Society for Humanitarian Solidarity,http://shsyemen.org/en/,,Yes,Drowning,,5434973.76289816,1415004.99060719,
